Query_ID,Query_Timestamp,Day_of_Week,Hour_of_Day,Pickup_Hub,Drop_Hub,Base_Distance_KM,Est_Ride_Duration_Min,Traffic_Condition,Weather_Condition,User_Device_OS,Device_Model_Tier,Battery_Level_Pct,App_Open_Count_Last_1hr,User_Account_Tenure_Months,Historical_Acceptance_Rate,Legal_Meter_Fare_INR,Surge_Multiplier_Applied,App_Quoted_Fare_INR,Competitor_Price_Diff_INR,Final_Ride_Status
5c30d77d,2026-06-03 08:27:00,2,8,Marathahalli,Indiranagar,8.9,54,Heavy,Clear,Android,Mid_Range,79,2,42,0.68,133.5,1.13,151.0,36.0,Cancelled_By_Driver
6c533e2e,2026-04-24 06:51:00,4,6,Electronic_City,Peenya,6.6,38,Free_Flow,Heavy_Downpour,Android,Budget,22,3,38,0.66,99.0,1.4,139.0,12.0,Ride_Accepted
8b0aab3b,2026-05-18 19:33:00,0,19,Peenya,Koramangala,9.4,40,Moderate,Light_Rain,iOS,Premium,96,1,34,0.81,141.0,1.2,170.0,-24.0,Ride_Accepted
ff6a9462,2026-05-19 15:43:00,1,15,HSR_Layout,Peenya,13.8,61,Moderate,Clear,Android,Budget,55,3,47,0.78,207.0,0.9,186.0,14.0,User_Abandoned_App
1def1e39,2026-06-20 00:25:00,5,0,Marathahalli,Koramangala,27.4,80,Light,Clear,Android,Mid_Range,80,1,3,0.89,411.0,1.1,453.0,-13.0,User_Abandoned_App
31db6923,2026-03-09 09:30:00,0,9,Malleshwaram,Marathahalli,7.5,47,Heavy,Clear,iOS,Premium,88,4,23,0.68,112.5,1.41,159.0,-40.0,User_Abandoned_App
21b0b619,2026-05-25 18:59:00,0,18,Indiranagar,Koramangala,13.7,88,Heavy,Light_Rain,iOS,Premium,73,1,45,0.71,205.5,1.46,300.0,-19.0,Ride_Accepted
de6a8a69,2026-05-23 13:23:00,5,13,Marathahalli,Koramangala,8.3,24,Light,Clear,Android,Budget,22,1,26,0.88,124.50000000000001,0.98,122.0,12.0,User_Abandoned_App
da5dc3af,2026-05-30 08:49:00,5,8,Peenya,Whitefield,6.6,55,Gridlock,Clear,Android,Mid_Range,36,10,45,0.9,99.0,1.57,156.0,-23.0,User_Abandoned_App
6b937a75,2026-05-17 07:21:00,6,7,HSR_Layout,Bellandur,11.4,33,Free_Flow,Light_Rain,iOS,Premium,50,2,2,0.72,171.0,1.17,199.0,-19.0,Ride_Accepted
976dff99,2026-05-29 16:26:00,4,16,Electronic_City,Malleshwaram,11.4,35,Free_Flow,Clear,Android,Budget,23,3,20,0.5,171.0,0.9,154.0,-19.0,User_Abandoned_App
1fb0600e,2026-05-31 13:36:00,6,13,Peenya,Marathahalli,12.4,39,Free_Flow,Clear,Android,Budget,22,2,37,0.9,186.0,1.03,191.0,7.0,Cancelled_By_Driver
2c1658f2,2026-08-18 17:38:00,1,17,Peenya,Electronic_City,6.8,47,Gridlock,Clear,Android,Mid_Range,49,6,27,0.79,102.0,1.68,171.0,7.0,Ride_Accepted
826ea75a,2026-03-14 14:47:00,5,14,Indiranagar,Whitefield,6.0,17,Free_Flow,Light_Rain,iOS,Premium,29,1,33,0.73,90.0,1.08,97.0,-16.0,User_Abandoned_App
568b4e6a,2026-07-21 17:47:00,1,17,Bellandur,Whitefield,5.6,27,Heavy,Clear,Android,Budget,31,2,21,0.9,84.0,1.13,95.0,-30.0,User_Abandoned_App
fde88d37,2026-06-08 08:54:00,0,8,HSR_Layout,Electronic_City,15.4,94,Heavy,Clear,Android,Budget,98,3,41,0.75,231.0,1.24,288.0,23.0,Cancelled_By_Driver
78f18378,2026-08-25 07:38:00,1,7,Koramangala,Indiranagar,4.1,18,Moderate,Clear,Android,Mid_Range,20,1,43,0.71,61.49999999999999,0.99,61.0,11.0,Ride_Accepted
76213637,2026-06-16 14:41:00,1,14,Peenya,Electronic_City,11.0,32,Free_Flow,Clear,iOS,Premium,69,2,33,0.85,165.0,1.31,217.0,3.0,User_Abandoned_App
788b4190,2026-08-08 16:26:00,5,16,Bellandur,Electronic_City,7.8,30,Free_Flow,Clear,Android,Mid_Range,70,2,46,0.9,117.0,1.05,123.0,11.0,Ride_Accepted
fb1a82f0,2026-04-07 20:12:00,1,20,Koramangala,HSR_Layout,16.0,101,Heavy,Light_Rain,Android,Mid_Range,79,1,13,0.56,240.0,1.3,311.0,-4.0,User_Abandoned_App
e91b8ecc,2026-05-30 15:00:00,5,15,HSR_Layout,Koramangala,14.4,45,Free_Flow,Clear,Android,Premium,2,2,7,0.89,216.0,1.25,270.0,2.0,User_Abandoned_App
6aced191,2026-06-30 17:20:00,1,17,Whitefield,Koramangala,10.6,45,Moderate,Clear,Android,Budget,64,3,35,0.72,159.0,0.91,144.0,9.0,Ride_Accepted
e575cbc6,2026-05-03 09:48:00,6,9,Malleshwaram,Indiranagar,18.6,88,Moderate,Clear,Android,Mid_Range,63,3,42,0.8,279.0,1.12,311.0,7.0,User_Abandoned_App
8493e298,2026-06-23 16:05:00,1,16,Bellandur,Indiranagar,5.7,20,Free_Flow,Clear,Android,Mid_Range,40,1,4,0.37,85.5,1.01,86.0,35.0,Cancelled_By_Driver
87248a46,2026-05-07 17:37:00,3,17,Hebbal,Whitefield,10.9,64,Heavy,Clear,iOS,Premium,65,2,38,0.9,163.5,1.45,237.0,-9.0,Ride_Accepted
b333a021,2026-03-01 09:10:00,6,9,Whitefield,Marathahalli,7.6,56,Gridlock,Clear,iOS,Premium,55,3,30,0.9,114.0,1.58,180.0,26.0,User_Abandoned_App
effeae95,2026-03-06 18:03:00,4,18,Malleshwaram,Peenya,10.7,101,Gridlock,Heavy_Downpour,Android,Premium,50,6,46,0.76,160.5,2.01,323.0,10.0,Ride_Accepted
13f1f247,2026-04-14 14:58:00,1,14,Indiranagar,Marathahalli,7.1,22,Free_Flow,Light_Rain,Android,Mid_Range,69,2,28,0.78,106.5,1.1,118.0,-3.0,Ride_Accepted
cac666f4,2026-07-23 03:48:00,3,3,Marathahalli,Indiranagar,12.3,38,Free_Flow,Light_Rain,Android,Budget,37,3,24,0.9,184.5,0.99,182.0,-10.0,Cancelled_By_Driver
d0918d13,2026-06-04 08:41:00,3,8,Electronic_City,Bellandur,5.5,31,Heavy,Clear,iOS,Premium,97,2,14,0.49,82.5,1.36,112.0,-27.0,Ride_Accepted
b4b6d480,2026-03-25 16:02:00,2,16,Hebbal,Electronic_City,6.2,35,Moderate,Clear,iOS,Premium,37,1,30,0.84,93.0,1.23,114.0,-12.0,Ride_Accepted
e9552a5d,2026-03-19 12:56:00,3,12,Indiranagar,HSR_Layout,6.5,31,Moderate,Clear,iOS,Premium,32,1,1,0.65,97.5,1.07,105.0,-12.0,Ride_Accepted
dd967cbc,2026-03-06 10:43:00,4,10,HSR_Layout,Indiranagar,10.9,68,Heavy,Clear,iOS,Mid_Range,4,3,15,0.69,163.5,1.25,204.0,-33.0,Ride_Accepted
c14ea05c,2026-07-23 20:40:00,3,20,Indiranagar,HSR_Layout,3.1,19,Heavy,Clear,iOS,Premium,1,3,16,0.76,46.5,1.49,69.0,23.0,Ride_Accepted
77160bcf,2026-06-08 09:34:00,0,9,Marathahalli,Bellandur,8.0,39,Moderate,Clear,Android,Budget,20,4,21,0.57,120.0,0.9,108.0,12.0,Ride_Accepted
e8fa1560,2026-06-08 06:18:00,0,6,HSR_Layout,Peenya,21.0,67,Free_Flow,Clear,iOS,Premium,83,1,14,0.88,315.0,1.26,396.0,-48.0,Ride_Accepted
15832c42,2026-05-24 09:50:00,6,9,Hebbal,Bellandur,11.5,55,Moderate,Clear,Android,Budget,77,2,18,0.29,172.5,0.91,158.0,25.0,Ride_Accepted
3134a25f,2026-04-30 20:13:00,3,20,Marathahalli,Hebbal,12.2,101,Heavy,Heavy_Downpour,Android,Mid_Range,49,3,25,0.83,183.0,1.84,338.0,-13.0,User_Abandoned_App
67227697,2026-08-14 18:33:00,4,18,Koramangala,Malleshwaram,10.3,72,Gridlock,Clear,Android,Mid_Range,99,4,7,0.44,154.5,1.33,205.0,5.0,Ride_Accepted
5577f05d,2026-07-31 18:44:00,4,18,Electronic_City,Malleshwaram,6.7,51,Gridlock,Light_Rain,iOS,Mid_Range,25,6,21,0.81,100.5,1.53,154.0,14.0,Ride_Accepted
f493e84f,2026-03-01 17:32:00,6,17,Hebbal,Malleshwaram,20.7,155,Gridlock,Clear,iOS,Premium,86,6,5,0.51,310.5,1.63,506.0,-11.0,Ride_Accepted
1f326f29,2026-08-18 12:00:00,1,12,Koramangala,Malleshwaram,20.4,59,Free_Flow,Clear,iOS,Premium,54,4,10,0.9,306.0,1.16,355.0,9.0,Ride_Accepted
4be6c332,2026-08-18 09:40:00,1,9,Malleshwaram,Electronic_City,12.1,74,Heavy,Light_Rain,Android,Mid_Range,82,3,14,0.82,181.5,1.24,224.0,16.0,Ride_Accepted
c3a78077,2026-08-05 17:29:00,2,17,Hebbal,Koramangala,10.6,60,Heavy,Clear,Android,Mid_Range,60,2,22,0.71,159.0,1.29,205.0,22.0,Ride_Accepted
9ad5e667,2026-06-07 07:48:00,6,7,Malleshwaram,Hebbal,4.5,20,Free_Flow,Clear,Android,Mid_Range,9,3,31,0.78,67.5,1.18,79.0,33.0,Ride_Accepted
cdee2ac1,2026-04-05 10:46:00,6,10,HSR_Layout,Indiranagar,9.6,72,Gridlock,Light_Rain,Android,Premium,60,7,47,0.89,144.0,1.72,248.0,-41.0,User_Abandoned_App
b65b95e3,2026-05-10 18:25:00,6,18,Koramangala,Marathahalli,10.0,55,Heavy,Clear,Android,Budget,46,4,1,0.9,150.0,1.26,189.0,7.0,Ride_Accepted
