Query_ID,Query_Timestamp,Day_of_Week,Hour_of_Day,Pickup_Hub,Drop_Hub,Base_Distance_KM,Est_Ride_Duration_Min,Traffic_Condition,Weather_Condition,User_Device_OS,Device_Model_Tier,Battery_Level_Pct,App_Open_Count_Last_1hr,User_Account_Tenure_Months,Historical_Acceptance_Rate,Legal_Meter_Fare_INR,Surge_Multiplier_Applied,App_Quoted_Fare_INR,Competitor_Price_Diff_INR,Final_Ride_Status
e7d202a2,03-06-2026 08:27,2,8,Marathahalli,Indiranagar,8.9,54,Heavy,Clear,Android,Mid-Range,79,2,42,0.68,133.5,1.13,151,36,Cancelled_By_Driver
21cdeab4,24-04-2026 06:51,4,6,Electronic City,Peenya,6.6,38,Free-Flow,Heavy Downpour,Android,Budget,22,3,38,0.66,99,1.4,139,12,Ride_Accepted
705ab73c,18-05-2026 19:33,0,19,Peenya,Koramangala,9.4,40,Moderate,Light Rain,iOS,Premium,96,1,34,0.81,141,1.2,170,-24,Ride_Accepted
bcc9cf43,19-05-2026 15:43,1,15,HSR Layout,Peenya,13.8,61,Moderate,Clear,Android,Budget,55,3,47,0.78,207,0.9,186,14,User_Abandoned_App
ea0c8226,20-06-2026 00:25,5,0,Marathahalli,Koramangala,27.4,80,Light,Clear,Android,Mid-Range,80,1,3,0.89,411,1.1,453,-13,User_Abandoned_App
e6e4d369,09-03-2026 09:30,0,9,Malleshwaram,Marathahalli,7.5,47,Heavy,Clear,iOS,Premium,88,4,23,0.68,112.5,1.41,159,-40,User_Abandoned_App
115f254e,25-05-2026 18:59,0,18,Indiranagar,Koramangala,13.7,88,Heavy,Light Rain,iOS,Premium,73,1,45,0.71,205.5,1.46,300,-19,Ride_Accepted
b30511c2,23-05-2026 13:23,5,13,Marathahalli,Koramangala,8.3,24,Light,Clear,Android,Budget,22,1,26,0.88,124.5,0.98,122,12,User_Abandoned_App
a0347eb2,30-05-2026 08:49,5,8,Peenya,Whitefield,6.6,55,Gridlock,Clear,Android,Mid-Range,36,10,45,0.9,99,1.57,156,-23,User_Abandoned_App
02ddb7fb,17-05-2026 07:21,6,7,HSR Layout,Bellandur,11.4,33,Free-Flow,Light Rain,iOS,Premium,50,2,2,0.72,171,1.17,199,-19,Ride_Accepted
6b5720be,29-05-2026 16:26,4,16,Electronic City,Malleshwaram,11.4,35,Free-Flow,Clear,Android,Budget,23,3,20,0.5,171,0.9,154,-19,User_Abandoned_App
8adf2b68,31-05-2026 13:36,6,13,Peenya,Marathahalli,12.4,39,Free-Flow,Clear,Android,Budget,22,2,37,0.9,186,1.03,191,7,Cancelled_By_Driver
3dfbaf4a,18-08-2026 17:38,1,17,Peenya,Electronic City,6.8,47,Gridlock,Clear,Android,Mid-Range,49,6,27,0.79,102,1.68,171,7,Ride_Accepted
f3c74f23,14-03-2026 14:47,5,14,Indiranagar,Whitefield,6,17,Free-Flow,Light Rain,iOS,Premium,29,1,33,0.73,90,1.08,97,-16,User_Abandoned_App
8f700cdc,21-07-2026 17:47,1,17,Bellandur,Whitefield,5.6,27,Heavy,Clear,Android,Budget,31,2,21,0.9,84,1.13,95,-30,User_Abandoned_App
929f3f28,08-06-2026 08:54,0,8,HSR Layout,Electronic City,15.4,94,Heavy,Clear,Android,Budget,98,3,41,0.75,231,1.24,288,23,Cancelled_By_Driver
a6ffa141,25-08-2026 07:38,1,7,Koramangala,Indiranagar,4.1,18,Moderate,Clear,Android,Mid-Range,20,1,43,0.71,61.5,0.99,61,11,Ride_Accepted
081e20af,16-06-2026 14:41,1,14,Peenya,Electronic City,11,32,Free-Flow,Clear,iOS,Premium,69,2,33,0.85,165,1.31,217,3,User_Abandoned_App
4684a033,08-08-2026 16:26,5,16,Bellandur,Electronic City,7.8,30,Free-Flow,Clear,Android,Mid-Range,70,2,46,0.9,117,1.05,123,11,Ride_Accepted
3f91264b,07-04-2026 20:12,1,20,Koramangala,HSR Layout,16,101,Heavy,Light Rain,Android,Mid-Range,79,1,13,0.56,240,1.3,311,-4,User_Abandoned_App
d6221ed4,30-05-2026 15:00,5,15,HSR Layout,Koramangala,14.4,45,Free-Flow,Clear,Android,Premium,2,2,7,0.89,216,1.25,270,2,User_Abandoned_App
0ba3a4ca,30-06-2026 17:20,1,17,Whitefield,Koramangala,10.6,45,Moderate,Clear,Android,Budget,64,3,35,0.72,159,0.91,144,9,Ride_Accepted
a0bd5a31,03-05-2026 09:48,6,9,Malleshwaram,Indiranagar,18.6,88,Moderate,Clear,Android,Mid-Range,63,3,42,0.8,279,1.12,311,7,User_Abandoned_App
5a289c06,23-06-2026 16:05,1,16,Bellandur,Indiranagar,5.7,20,Free-Flow,Clear,Android,Mid-Range,40,1,4,0.37,85.5,1.01,86,35,Cancelled_By_Driver
ad1aee61,07-05-2026 17:37,3,17,Hebbal,Whitefield,10.9,64,Heavy,Clear,iOS,Premium,65,2,38,0.9,163.5,1.45,237,-9,Ride_Accepted
2.09E+07,01-03-2026 09:10,6,9,Whitefield,Marathahalli,7.6,56,Gridlock,Clear,iOS,Premium,55,3,30,0.9,114,1.58,180,26,User_Abandoned_App
559b20d8,06-03-2026 18:03,4,18,Malleshwaram,Peenya,10.7,101,Gridlock,Heavy Downpour,Android,Premium,50,6,46,0.76,160.5,2.01,323,10,Ride_Accepted
a93fdeb0,14-04-2026 14:58,1,14,Indiranagar,Marathahalli,7.1,22,Free-Flow,Light Rain,Android,Mid-Range,69,2,28,0.78,106.5,1.1,118,-3,Ride_Accepted
7ebf965b,23-07-2026 03:48,3,3,Marathahalli,Indiranagar,12.3,38,Free-Flow,Light Rain,Android,Budget,37,3,24,0.9,184.5,0.99,182,-10,Cancelled_By_Driver
bfa4171f,04-06-2026 08:41,3,8,Electronic City,Bellandur,5.5,31,Heavy,Clear,iOS,Premium,97,2,14,0.49,82.5,1.36,112,-27,Ride_Accepted
82ebd567,25-03-2026 16:02,2,16,Hebbal,Electronic City,6.2,35,Moderate,Clear,iOS,Premium,37,1,30,0.84,93,1.23,114,-12,Ride_Accepted
2c8fb11e,19-03-2026 12:56,3,12,Indiranagar,HSR Layout,6.5,31,Moderate,Clear,iOS,Premium,32,1,1,0.65,97.5,1.07,105,-12,Ride_Accepted
6af88d23,06-03-2026 10:43,4,10,HSR Layout,Indiranagar,10.9,68,Heavy,Clear,iOS,Mid-Range,4,3,15,0.69,163.5,1.25,204,-33,Ride_Accepted
e7ab44ab,23-07-2026 20:40,3,20,Indiranagar,HSR Layout,3.1,19,Heavy,Clear,iOS,Premium,1,3,16,0.76,46.5,1.49,69,23,Ride_Accepted
8babefe7,08-06-2026 09:34,0,9,Marathahalli,Bellandur,8,39,Moderate,Clear,Android,Budget,20,4,21,0.57,120,0.9,108,12,Ride_Accepted
fa13eb5f,08-06-2026 06:18,0,6,HSR Layout,Peenya,21,67,Free-Flow,Clear,iOS,Premium,83,1,14,0.88,315,1.26,396,-48,Ride_Accepted
2855635c,24-05-2026 09:50,6,9,Hebbal,Bellandur,11.5,55,Moderate,Clear,Android,Budget,77,2,18,0.29,172.5,0.91,158,25,Ride_Accepted
74f54245,30-04-2026 20:13,3,20,Marathahalli,Hebbal,12.2,101,Heavy,Heavy Downpour,Android,Mid-Range,49,3,25,0.83,183,1.84,338,-13,User_Abandoned_App
de01aab0,14-08-2026 18:33,4,18,Koramangala,Malleshwaram,10.3,72,Gridlock,Clear,Android,Mid-Range,99,4,7,0.44,154.5,1.33,205,5,Ride_Accepted
2d0186b3,31-07-2026 18:44,4,18,Electronic City,Malleshwaram,6.7,51,Gridlock,Light Rain,iOS,Mid-Range,25,6,21,0.81,100.5,1.53,154,14,Ride_Accepted
7d3ffd4d,01-03-2026 17:32,6,17,Hebbal,Malleshwaram,20.7,155,Gridlock,Clear,iOS,Premium,86,6,5,0.51,310.5,1.63,506,-11,Ride_Accepted
e2909906,18-08-2026 12:00,1,12,Koramangala,Malleshwaram,20.4,59,Free-Flow,Clear,iOS,Premium,54,4,10,0.9,306,1.16,355,9,Ride_Accepted
57df5855,18-08-2026 09:40,1,9,Malleshwaram,Electronic City,12.1,74,Heavy,Light Rain,Android,Mid-Range,82,3,14,0.82,181.5,1.24,224,16,Ride_Accepted
f43e2e50,05-08-2026 17:29,2,17,Hebbal,Koramangala,10.6,60,Heavy,Clear,Android,Mid-Range,60,2,22,0.71,159,1.29,205,22,Ride_Accepted
444e5e8b,07-06-2026 07:48,6,7,Malleshwaram,Hebbal,4.5,20,Free-Flow,Clear,Android,Mid-Range,9,3,31,0.78,67.5,1.18,79,33,Ride_Accepted
e152ad0b,05-04-2026 10:46,6,10,HSR Layout,Indiranagar,9.6,72,Gridlock,Light Rain,Android,Premium,60,7,47,0.89,144,1.72,248,-41,User_Abandoned_App
bbd0d091,10-05-2026 18:25,6,18,Koramangala,Marathahalli,10,55,Heavy,Clear,Android,Budget,46,4,1,0.9,150,1.26,189,7,Ride_Accepted
447cba77,13-03-2026 09:47,4,9,Electronic City,Marathahalli,5.5,25,Heavy,Light Rain,Android,Mid-Range,36,1,31,0.9,82.5,1.32,109,5,User_Abandoned_App
82c5bece,09-06-2026 16:10,1,16,Marathahalli,Whitefield,9.3,31,Free-Flow,Clear,Android,Budget,34,4,19,0.9,139.5,0.98,137,-18,User_Abandoned_App
93a27096,03-04-2026 10:11,4,10,Peenya,Whitefield,20.8,159,Gridlock,Clear,iOS,Mid-Range,11,6,41,0.9,312,1.98,616,-2,Ride_Accepted
14278dcd,29-03-2026 06:00,6,6,Indiranagar,Electronic City,11.7,34,Light,Clear,iOS,Premium,49,4,14,0.61,175.5,1.13,199,22,Ride_Accepted
